State,City by state,Population,Crime Index  ,Modified Crime Index1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,
,Rancho Mirage,"13,736",637,638,0,2,1,18,180,375,61,1,,,,,
,Rancho Palos Verdes,"42,656",572,575,0,5,13,54,181,290,29,3,,,,,
,Rancho Santa Margarita,"48,949",561,567,0,7,5,21,103,385,40,6,,,,,
,Red Bluff,"13,630",703,708,1,8,8,116,101,418,51,5,,,,,
,Redding,"83,836","3,389","3,410",0,57,79,290,801,"1,788",374,21,,,,,
,Redlands,"65,927","2,997","3,011",0,33,87,307,456,"1,672",442,14,,,,,
,Redondo Beach,"65,585","1,884","1,885",2,9,70,118,436,"1,050",199,1,,,,,
,Redwood City,"78,172","2,482","2,502",1,25,72,243,307,"1,640",194,20,,,,,
,Reedley,"21,519",939,947,2,7,22,104,162,534,108,8,,,,,
,Rialto,"95,248","3,847","3,871",18,30,256,586,591,"1,375",991,24,,,,,
,Richmond,"102,861","7,838","7,926",29,38,471,660,"1,051","3,534","2,055",88,,,,,
,Ridgecrest,"25,842",753,776,0,7,6,73,249,363,55,23,,,,,
,Ripon,"10,518",395,396,0,0,2,32,29,286,46,1,,,,,
,Riverbank,"16,408",813,818,0,1,5,20,155,528,104,5,,,,,
,Riverside,"264,540","15,161","15,399",20,94,616,"1,296","2,525","8,140","2,470",238,,,,,
,Rocklin,"37,665","1,059","1,064",0,6,4,37,194,694,124,5,,,,,
,Rohnert Park,"43,788","1,828","1,836",1,8,21,93,710,819,176,8,,,,,
,Rosemead,"55,470","1,518","1,526",2,10,103,173,380,524,326,8,,,,,
,Roseville,"82,858","3,821","3,834",0,18,50,147,549,"2,634",423,13,,,,,
,Sacramento,"421,971","30,780","31,113",47,185,"1,734","1,581","5,019","15,548","6,666",333,,,,,
,Salinas,"156,609","6,834","6,892",20,59,367,692,757,"4,013",926,58,,,,,
,San Anselmo,"12,832",236,236,0,2,6,11,61,143,13,0,,,,,
,San Bernardino,"192,212","13,755","13,864",42,102,886,"1,454","2,340","6,226","2,705",109,,,,,
,San Bruno,"41,640","1,221","1,227",5,14,31,46,127,840,158,6,,,,,
,San Carlos,"28,736",578,578,0,0,8,22,112,405,31,0,,,,,
,San Clemente,"51,770",877,886,1,5,17,44,155,572,83,9,,,,,
,San Diego,"1,268,346","50,124","50,330",47,330,"1,627","5,189","7,639","24,577","10,715",206,,,,,
,San Dimas,"36,265",886,902,0,6,27,68,200,508,77,16,,,,,
,San Fernando,"24,430",907,910,0,2,49,74,144,420,218,3,,,,,
,San Francisco,"805,269","42,671","42,898",68,210,"3,208","2,573","5,947","24,468","6,197",227,,,,,
,San Gabriel,"41,266","1,054","1,062",0,3,62,121,241,474,153,8,,,,,
,Sanger,"19,626",810,816,2,2,37,77,122,425,145,6,,,,,
,San Jacinto,"24,653",714,714,3,13,21,88,274,165,150,0,,,,,
,San Jose,"927,821","24,139","24,397",26,379,827,"2,902","3,026","13,642","3,337",258,,,,,
,San Juan Capistrano,"35,069",596,600,2,3,16,45,88,375,67,4,,,,,
,San Leandro,"82,371","4,606","4,626",5,22,227,245,619,"2,493",995,20,,,,,
,San Luis Obispo,"45,796","2,093","2,128",0,32,19,109,318,"1,489",126,35,,,,,
,San Marcos,"56,997","1,472","1,478",1,8,46,138,437,643,199,6,,,,,
,San Marino,"13,421",173,173,0,0,7,6,57,97,6,0,,,,,
,San Mateo,"95,880","2,846","2,870",0,17,98,227,348,"1,937",219,24,,,,,
,San Pablo,"31,325","2,052","2,059",1,6,116,165,291,864,609,7,,,,,
,San Rafael,"58,122","1,883","1,891",2,10,67,62,313,"1,102",327,8,,,,,
,San Ramon,"46,365","1,127","1,134",0,1,10,28,146,861,81,7,,,,,
,Santa Ana,"350,393","12,038","12,197",23,66,871,970,"1,225","6,485","2,398",159,,,,,
,Santa Barbara,"95,717","3,072","3,110",3,41,86,388,621,"1,786",147,38,,,,,
,Santa Clara,"106,121","3,228","3,257",4,19,62,226,417,"2,188",312,29,,,,,
,Santa Clarita,"156,639","3,195","3,229",6,24,90,185,611,"1,844",435,34,,,,,
,Santa Cruz,"56,599","3,569","3,596",4,43,97,316,534,"2,371",204,27,,,,,
,Santa Fe Springs,"18,078","1,386","1,389",1,1,65,73,186,751,309,3,,,,,
,Santa Monica,"87,173","4,701","4,749",8,35,299,317,739,"2,811",492,48,,,,,
,Santa Paula,"29,648",893,901,6,4,32,55,297,426,73,8,,,,,
,Santa Rosa,"153,018","6,531","6,574",6,93,167,359,974,"4,213",719,43,,,,,
,Santee,"54,921","1,380","1,388",0,11,18,109,285,769,188,8,,,,,
,Saratoga,"30,939",348,349,0,3,2,18,83,230,12,1,,,,,
,Scotts Valley,"11,803",329,331,0,1,1,10,45,260,12,2,,,,,
,Seal Beach,"25,045",459,461,0,2,29,36,101,245,46,2,,,,,
,Seaside,"32,860",935,943,1,10,38,101,225,507,53,8,,,,,
,Selma,"20,158","1,297","1,303",1,5,24,50,250,731,236,6,,,,,
,Shafter,"13,204",403,417,0,1,4,47,91,213,47,14,,,,,
,Sierra Madre,"10,967",157,157,0,2,4,6,54,82,9,0,,,,,
,Simi Valley,"115,442","1,756","1,776",0,7,26,105,355,"1,100",163,20,,,,,
,Solana Beach,"13,456",401,403,0,1,13,14,112,212,49,2,,,,,
,Soledad,"11,676",323,323,0,4,7,33,104,144,31,0,,,,,
,South El Monte,"21,921",749,759,0,4,52,99,182,255,157,10,,,,,
,South Gate,"99,916","3,423","3,440",3,12,334,168,641,"1,083","1,182",17,,,,,
,South Lake Tahoe,"24,476",731,736,0,13,24,173,167,310,44,5,,,,,
,South Pasadena,"25,185",612,617,0,3,18,16,164,315,96,5,,,,,
,South San Francisco,"62,777","1,541","1,555",1,8,41,64,240,963,224,14,,,,,
,Stanton,"38,777",888,908,2,6,40,86,141,425,188,20,,,,,
,Stockton,"252,727","21,114","21,188",36,141,"1,171","2,345","2,965","11,003","3,453",74,,,,,
,Suisun City,"27,078",908,939,0,2,17,44,133,564,148,31,,,,,
,Sunnyvale,"136,601","2,569","2,599",2,24,70,96,322,"1,837",218,30,,,,,
,Susanville,"14,038",407,410,0,8,4,54,74,261,6,3,,,,,
,Temecula,"59,837","2,151","2,155",0,19,28,169,452,"1,249",234,4,,,,,
,Temple City,"34,603",528,534,0,1,25,42,199,211,50,6,,,,,
,Thousand Oaks,"121,304","2,030","2,054",0,18,35,105,364,"1,359",149,24,,,,,
,Torrance,"143,014","4,541","4,564",2,23,211,248,708,"2,712",637,23,,,,,
,Tracy,"59,021","2,537","2,548",2,10,55,71,369,"1,706",324,11,,,,,
,Truckee,"14,373",423,423,0,1,3,26,123,245,25,0,,,,,
,Tulare,"45,611","3,022","3,068",2,20,57,407,"1,041","1,257",238,46,,,,,
,Turlock,"57,861","3,769","3,802",0,18,78,185,709,"1,985",794,33,,,,,
,Tustin,"69,983","2,197","2,209",1,9,52,155,341,"1,393",246,12,,,,,
,Twentynine Palms,"15,307",536,550,2,9,8,46,135,285,51,14,,,,,
,Twin Cities,"21,891",569,569,0,1,2,3,126,365,72,0,,,,,
,Ukiah,"16,066",953,960,1,13,10,130,154,594,51,7,,,,,
,Union City,"69,326","2,566","2,588",4,14,95,135,409,"1,442",467,22,,,,,
,Upland,"70,906","2,795","2,839",1,15,103,200,441,"1,643",392,44,,,,,
,Vacaville,"91,881","2,482","2,507",1,32,66,171,304,"1,630",278,25,,,,,
,Vallejo,"121,049","7,117","7,163",7,45,326,704,"1,194","3,768","1,073",46,,,,,
,Ventura,"104,623","3,648","3,657",2,30,90,164,621,"2,478",263,9,,,,,
,Victorville,"66,382","3,634","3,658",6,21,137,137,721,"2,082",530,24,,,,,
,Visalia,"94,929","6,309","6,339",12,46,130,674,"1,094","3,521",832,30,,,,,
,Vista,"93,158","3,184","3,197",4,23,112,257,786,"1,590",412,13,,,,,
,Walnut,"31,107",396,400,0,4,16,33,88,174,81,4,,,,,
,Walnut Creek,"66,658","2,779","2,798",0,12,24,99,469,"1,939",236,19,,,,,
,Watsonville,"45,891","2,259","2,268",0,23,84,215,293,"1,533",111,9,,,,,
,West Covina,"108,940","4,238","4,268",2,25,136,199,532,"2,573",771,30,,,,,
,West Hollywood,"37,028","2,078","2,089",2,13,174,225,278,"1,107",279,11,,,,,
,Westminster,"91,448","3,114","3,161",4,19,131,193,524,"1,772",471,47,,,,,
,West Sacramento,"32,776","2,052","2,085",2,24,96,309,503,700,418,33,,,,,
,Whittier,"86,755","2,578","2,586",3,8,105,191,329,"1,530",412,8,,,,,
,Windsor,"23,579",504,506,1,8,6,43,77,337,32,2,,,,,
,Woodland,"50,957","1,512","1,553",2,13,37,157,364,705,234,41,,,,,
,Yorba Linda,"61,083","1,005","1,017",0,6,15,22,177,736,49,12,,,,,
,Yuba City,"38,109","2,296","2,317",4,26,33,117,409,"1,454",253,21,,,,,
,Yucaipa,"42,721",899,904,0,5,16,34,200,543,101,5,,,,,
,Yucca Valley,"17,485",636,648,1,6,10,65,159,339,56,12,,,,,
COLORADO,Arvada,"107,028","4,148","4,196",2,17,48,107,519,"3,098",357,48,,,,,
,Aurora,"289,584","18,075","18,205",16,256,549,"1,031","2,161","10,745","3,317",130,,,,,
,Boulder,"99,191","3,743","3,773",5,48,45,133,536,"2,787",189,30,,,,,
,Canon City,"16,167",777,781,0,8,8,47,114,570,30,4,,,,,
,Castle Rock,"21,189",517,517,1,1,6,15,230,209,55,0,,,,,
,Colorado Springs,"378,114","21,817","21,956",25,275,497,"1,235","4,063","14,137","1,585",139,,,,,
,Commerce City,"21,993","1,710","1,710",0,10,17,124,274,875,410,0,,,,,
,Denver,"581,105","32,132","32,415",51,324,"1,193","1,539","6,117","15,467","7,441",283,,,,,
,Durango,"14,587","1,074","1,089",0,21,8,25,99,887,34,15,,,,,
,Englewood,"33,241","2,228","2,238",3,15,24,14,283,"1,536",353,10,,,,,
,Federal Heights,"12,641","1,147","1,150",0,3,16,19,173,825,111,3,,,,,
,Fort Collins,"124,315","5,371","5,402",0,99,35,302,738,"3,990",207,31,,,,,
,Fort Morgan,"11,561",592,593,0,3,7,10,84,463,25,1,,,,,
,Golden,"17,978",761,768,0,0,5,56,75,545,80,7,,,,,
,Grand Junction,"43,989","2,617","2,645",0,19,18,114,372,"1,952",142,28,,,,,
,Greeley,"80,601","5,275","5,292",1,55,49,210,637,"3,972",351,17,,,,,
,Greenwood Village,"11,562",847,850,0,3,11,48,110,610,65,3,,,,,
,Lafayette,"24,304",845,862,1,10,9,149,125,515,36,17,,,,,
,Lakewood,"151,005","8,938","8,978",1,80,144,207,"1,277","6,084","1,145",40,,,,,
,Littleton,"42,266","1,551","1,558",3,8,16,37,219,"1,083",185,7,,,,,
,Louisville,"19,841",402,402,0,4,4,18,61,288,27,0,,,,,
,Loveland,"53,023","2,169","2,178",0,23,18,78,256,"1,706",88,9,,,,,
,Montrose,"12,933",776,783,0,13,6,29,110,585,33,7,,,,,
,Northglenn,"33,082","1,955","1,965",3,11,30,122,241,"1,258",290,10,,,,,
,Parker,"24,683",669,680,0,1,4,7,127,496,34,11,,,,,
,Pueblo,"106,995","6,145","6,208",6,27,164,528,"1,144","3,893",383,63,,,,,
,Steamboat Springs,"10,283",438,440,0,6,2,17,58,334,21,2,,,,,
,Sterling,"11,903",639,651,0,4,1,27,128,456,23,12,,,,,
,Thornton,"86,316","5,502","5,515",1,41,58,344,702,"3,676",680,13,,,,,
,Wheat Ridge,"34,484","2,045","2,061",3,25,31,113,252,"1,321",300,16,,,,,
,Windsor,"10,368",64,67,0,0,1,4,17,35,7,3,,,,,
CONNECTICUT,Ansonia,"18,853",481,481,1,9,16,14,59,337,45,0,,,,,
,Avon,"16,087",196,196,0,1,2,0,26,161,6,0,,,,,
,Berlin,"18,509",484,485,0,4,4,12,84,333,47,1,,,,,
,Bethel,"18,358",184,185,0,1,3,3,44,123,10,1,,,,,
,Bloomfield,"19,903",722,725,1,8,21,95,54,488,55,3,,,,,
,Branford,"29,146",886,887,0,5,10,17,60,714,80,1,,,,,
,Bridgeport,"141,780","8,551","8,680",12,65,555,"1,063","1,401","3,920","1,535",129,,,,,
,Bristol,"61,031","1,883","1,889",2,32,43,177,292,"1,214",123,6,,,,,
,Brookfield,"15,917",217,219,0,2,3,9,31,160,12,2,,,,,
,Clinton,"13,306",274,275,0,1,2,2,63,197,9,1,,,,,
,Coventry,"11,689",110,111,0,0,2,7,27,67,7,1,,,,,
,Cromwell,"13,079",258,259,0,0,3,4,35,196,20,1,,,,,
,Danbury,"76,055","2,198","2,208",2,23,66,62,281,"1,577",187,10,,,,,
,Darien,"19,923",165,165,0,1,3,1,25,122,13,0,,,,,
,Derby,"12,591",406,406,0,0,9,5,90,272,30,0,,,,,
,East Hampton,"13,568",68,69,0,0,1,2,12,46,7,1,,,,,
,East Haven,"28,643",856,858,0,11,23,32,126,561,103,2,,,,,
,Enfield,"45,941","1,194","1,208",0,2,28,36,212,766,150,14,,,,,
,Fairfield,"58,265","1,190","1,195",0,3,13,7,205,887,75,5,,,,,
,Farmington,"24,023",528,528,0,3,5,5,65,416,34,0,,,,,
,Glastonbury,"32,390",421,422,0,0,7,8,70,319,17,1,,,,,
,Granby,"10,514",157,158,0,3,1,3,17,123,10,1,,,,,
,Greenwich,"62,087",554,556,0,2,3,11,72,414,52,2,,,,,
,Groton,"10,171",290,293,1,7,7,17,67,181,10,3,,,,,
,Groton Town,"29,702",595,597,0,45,15,26,69,419,21,2,,,,,
,Guilford,"21,743",399,401,0,3,3,10,65,306,12,2,,,,,
,Hamden,"57,831","1,268","1,274",0,2,26,33,160,918,129,6,,,,,
,Hartford,"123,540","10,870","11,034",25,57,891,574,"1,572","5,571","2,180",164,,,,,
,Madison,"18,146",214,216,0,0,1,4,60,140,9,2,,,,,
,Meriden,"59,184","2,622","2,628",0,4,81,48,592,"1,787",110,6,,,,,
,Middletown,"43,863","1,108","1,109",0,2,20,30,148,792,116,1,,,,,
,Milford,"53,149","2,027","2,031",2,16,28,31,238,"1,543",169,4,,,,,
,Monroe,"19,557",192,192,0,4,0,2,28,144,14,0,,,,,
,Naugatuck,"31,489",602,604,0,7,12,18,96,423,46,2,,,,,
,New Britain,"72,692","3,481","3,483",0,14,158,148,637,"2,009",515,2,,,,,
,New Canaan,"19,708",105,105,0,1,0,2,33,65,4,0,,,,,
,Newington,"29,779",764,764,1,4,18,24,76,586,55,0,,,,,
,New Milford,"27,558",342,344,1,6,4,13,69,232,17,2,,,,,
,Newtown,"25,434",277,278,0,1,1,6,61,198,10,1,,,,,
,North Branford,"14,131",122,122,0,0,0,6,25,78,13,0,,,,,
,North Haven,"23,406",466,467,0,1,6,5,65,348,41,1,,,,,
,Norwalk,"84,289","2,949","2,954",2,12,106,213,410,"1,944",262,5,,,,,
,Norwich,"36,700","1,257","1,262",4,23,53,71,216,788,102,5,,,,,
,Old Saybrook,"10,534",276,276,0,1,4,3,25,235,8,0,,,,,
,Orange,"13,447",201,201,0,0,3,0,24,165,9,0,,,,,
,Plainfield,"14,855",279,280,0,0,0,30,70,168,11,1,,,,,
,Plainville,"17,608",599,600,0,0,14,13,81,451,40,1,,,,,
,Plymouth,"11,821",232,232,0,0,1,12,49,158,12,0,,,,,
,Ridgefield,"24,025",129,136,0,0,1,2,12,112,2,7,,,,,
,Rocky Hill,"18,256",395,397,0,7,2,10,36,284,56,2,,,,,
,Seymour,"15,704",217,217,0,1,6,24,43,130,13,0,,,,,
,Shelton,"38,716",437,438,0,5,7,8,111,241,65,1,,,,,
,Simsbury,"23,609",218,221,0,2,4,2,25,183,2,3,,,,,
,Southington,"40,369",905,912,0,3,13,44,158,621,66,7,,,,,
,South Windsor,"24,806",236,239,0,1,2,14,42,152,25,3,,,,,
,Stamford,"118,971","2,398","2,401",2,14,147,117,249,"1,571",298,3,,,,,
,Stonington,"18,195",472,474,0,1,7,5,73,367,19,2,,,,,
,Stratford,"50,782","1,584","1,593",2,11,61,40,294,975,201,9,,,,,
,Suffield,"13,771",148,148,0,0,0,3,27,105,13,0,,,,,
,Torrington,"35,770","1,117","1,130",1,6,16,126,215,693,60,13,,,,,
,Trumbull,"34,795",925,934,0,1,20,5,58,794,47,9,,,,,
,Vernon,"28,515",821,823,0,0,17,22,105,631,46,2,,,,,
,Wallingford,"43,720","1,077","1,089",0,5,9,17,136,849,61,12,,,,,
,Waterbury,"109,002","6,524","6,536",4,48,283,248,"1,246","3,926",769,12,,,,,
,Waterford,"19,461",626,629,0,4,14,11,62,511,24,3,,,,,
,Watertown,"22,011",399,399,1,0,0,5,49,329,15,0,,,,,
,West Hartford,"64,615","1,914","1,918",0,3,81,39,278,"1,383",130,4,,,,,
,West Haven,"53,204","1,989","1,998",1,18,58,41,305,"1,259",307,9,,,,,
,Weston,"10,199",75,75,0,0,0,1,11,60,3,0,,,,,
,Wethersfield,"26,695",606,608,1,1,27,8,74,441,54,2,,,,,
,Willimantic,"16,078",933,935,1,1,37,31,164,647,52,2,,,,,
,Wilton,"17,917",137,137,0,0,3,1,24,100,9,0,,,,,
,Winchester,"10,836",151,152,0,1,3,2,14,130,1,1,,,,,
,Windsor,"28,693",546,551,0,1,13,3,56,421,52,5,,,,,
,Windsor Locks,"12,238",236,237,0,1,1,2,32,145,55,1,,,,,
DELAWARE,Dover,"33,110","1,923","1,935",1,15,50,117,105,"1,528",107,12,,,,,
,Newark,"29,414","1,391","1,410",0,13,54,115,223,873,113,19,,,,,
DISTRICT OF COLUMBIA,Washington,"570,898","44,349","44,458",264,262,"3,731","4,854","5,167","20,903","9,168",109,,,,,
FLORIDA,Altamonte Springs,"43,084","2,084","2,091",1,21,59,109,308,"1,307",279,7,,,,,
,Apopka,"27,860","2,061","2,064",2,11,79,176,586,"1,069",138,3,,,,,
,Atlantic Beach,"13,979",562,563,0,6,20,57,123,321,35,1,,,,,
,Auburndale,"11,537",872,873,0,4,21,65,199,540,43,1,,,,,
,Aventura,"26,422","2,335","2,335",0,3,39,36,134,"2,020",103,0,,,,,
,Bartow,"16,041","1,324","1,324",0,10,27,128,260,788,111,0,,,,,
,Belle Glade,"15,588","1,961","1,968",0,14,96,397,531,829,94,7,,,,,
,Boca Raton,"78,183","2,890","2,892",2,11,63,129,545,"1,927",213,2,,,,,
,Boynton Beach,"63,150","5,277","5,284",2,10,204,380,853,"3,269",559,7,,,,,
,Bradenton,"51,768","3,758","3,758",8,32,151,267,769,"2,180",351,0,,,,,
,Cape Coral,"106,963","4,086","4,111",3,17,42,327,"1,081","2,394",222,25,,,,,
,Casselberry,"23,664","1,192","1,195",1,16,40,82,223,756,74,3,,,,,
,Clearwater,"113,761","6,544","6,581",7,51,270,795,"1,181","3,799",441,37,,,,,
,Cocoa,"17,162","2,002","2,003",1,16,94,269,466,"1,015",141,1,,,,,
,Cocoa Beach,"13,052","1,120","1,121",1,8,16,87,128,832,48,1,,,,,
,Coconut Creek,"45,558","1,236","1,243",1,17,19,92,249,733,125,7,,,,,
,Cooper City,"29,216",816,817,0,3,12,37,169,552,43,1,,,,,
,Coral Gables,"44,180","2,863","2,863",1,11,55,117,485,"1,978",216,0,,,,,
,Coral Springs,"122,923","3,918","3,926",2,25,87,178,681,"2,613",332,8,,,,,
,Crestview,"15,441",599,600,0,11,14,43,72,433,26,1,,,,,
,Dania,"20,979","1,301","1,303",2,6,57,112,193,731,200,2,,,,,
,Davie,"79,182","3,699","3,711",5,11,77,224,702,"2,313",367,12,,,,,
,Daytona Beach,"67,043","7,181","7,212",15,85,404,431,"1,790","3,566",890,31,,,,,
,Deerfield Beach,"67,536","1,928","1,934",5,16,65,201,281,"1,134",226,6,,,,,
,Deland,"21,859","1,636","1,638",5,10,53,145,299,"1,038",86,2,,,,,
,Delray Beach,"62,764","4,665","4,672",1,22,139,429,698,"2,870",506,7,,,,,
,Dunedin,"37,323","1,087","1,090",0,11,25,64,242,698,47,3,,,,,
,Edgewater,"19,522",713,715,0,9,6,39,146,468,45,2,,,,,
,Eustis,"15,797",378,380,1,5,10,42,53,235,32,2,,,,,
,Fernandina Beach,"11,031",531,536,0,7,8,39,95,359,23,5,,,,,
,Fort Lauderdale,"159,365","11,681","11,735",12,39,669,687,"2,482","6,418","1,374",54,,,,,
,Fort Myers,"50,412","5,118","5,140",16,28,369,661,742,"2,508",794,22,,,,,
,Fort Pierce,"39,232","4,329","4,358",8,41,236,538,964,"2,152",390,29,,,,,
,Fort Walton Beach,"20,887",879,879,0,11,15,83,130,594,46,0,,,,,
,Gainesville,"99,811","6,016","6,029",7,65,185,508,"1,248","3,530",473,13,,,,,
,Greenacres City,"28,829","1,782","1,784",3,13,46,124,276,"1,176",144,2,,,,,
,Gulfport,"13,099",727,733,0,3,45,54,179,393,53,6,,,,,
,Haines City,"13,776","1,465","1,467",2,5,17,35,292,"1,011",103,2,,,,,
,Hallandale,"35,850","2,134","2,139",2,20,117,310,379,"1,122",184,5,,,,,
,Hialeah,"236,772","12,217","12,261",9,48,431,"1,012","1,609","7,029","2,079",44,,,,,
,Hialeah Gardens,"20,179","1,042","1,043",0,1,20,28,165,679,149,1,,,,,
,Holly Hill,"12,673","1,199","1,201",2,12,40,61,292,691,101,2,,,,,
,Hollywood,"145,729","9,171","9,206",11,44,392,576,"1,205","5,917","1,026",35,,,,,
,Homestead,"33,368","3,793","3,796",6,22,296,402,577,"2,214",276,3,,,,,
,Jacksonville,"769,253","51,021","51,318",90,277,"2,016","4,660","9,173","29,391","5,414",297,,,,,
,Jacksonville Beach,"21,949","1,367","1,372",3,13,47,105,196,922,81,5,,,,,
,Jupiter,"41,126","1,717","1,719",0,2,41,102,365,"1,112",95,2,,,,,
,Key Biscayne,"10,987",373,374,0,0,0,7,38,308,20,1,,,,,
,Key West,"26,643","2,199","2,199",0,26,61,94,384,"1,377",257,0,,,,,
,Kissimmee,"50,001","3,471","3,480",1,26,126,318,668,"2,098",234,9,,,,,
,Lady Lake,"12,368",227,228,0,0,2,28,59,126,12,1,,,,,
,Lake City,"10,436","1,348","1,355",0,10,34,154,198,907,45,7,,,,,
,Lakeland,"82,039","5,360","5,376",3,44,250,368,"1,018","3,332",345,16,,,,,
,Lake Mary,"11,982",265,265,0,2,6,11,62,176,8,0,,,,,
,Lake Wales,"10,660","1,248","1,251",0,6,33,47,253,814,95,3,,,,,
,Lake Worth,"36,739","3,424","3,433",8,24,223,234,705,"1,841",389,9,,,,,
,Largo,"72,543","3,050","3,054",3,29,55,173,547,"2,083",160,4,,,,,
,Lauderdale Lakes,"33,155","1,002","1,009",1,15,69,140,141,441,195,7,,,,,
,Lauderhill,"60,218","2,949","2,960",6,27,152,327,663,"1,306",468,11,,,,,
,Leesburg,"16,685","1,236","1,240",1,5,47,267,258,607,51,4,,,,,
,Lighthouse Point,"11,259",286,287,0,0,7,13,50,195,21,1,,,,,
,Longwood,"14,373",939,939,0,2,15,315,132,427,48,0,,,,,
,Lynn Haven,"13,021",417,417,0,1,7,36,99,252,22,0,,,,,
,Maitland,"12,569",452,453,1,2,27,24,114,241,43,1,,,,,
,Marco Island,"15,559",282,285,0,2,2,10,66,192,10,3,,,,,
,Margate,"56,374","1,768","1,772",0,11,45,138,381,"1,013",180,4,,,,,
,Melbourne,"74,646","5,329","5,349",1,35,164,874,793,"3,218",244,20,,,,,
,Miami,"379,044","33,952","34,180",65,96,"2,706","4,361","5,962","15,886","4,876",228,,,,,
,Miami Beach,"91,954","10,390","10,398",7,51,507,512,"1,464","6,639","1,210",8,,,,,
,Miami Lakes,"23,713","1,313","1,313",0,5,25,78,178,838,189,0,,,,,
,Miami Shores,"10,855",763,765,0,5,41,34,145,478,60,2,,,,,
,Miami Springs,"14,339",713,715,1,2,37,39,120,456,58,2,,,,,
,Miramar,"76,065","3,437","3,462",6,36,145,266,856,"1,721",407,25,,,,,
,Naples,"21,935","1,103","1,104",0,4,20,52,266,718,43,1,,,,,
,New Port Richey,"16,854","1,109","1,115",0,14,40,124,248,638,45,6,,,,,
,New Smyrna Beach,"20,964","1,042","1,043",2,8,19,85,214,670,44,1,,,,,
,Niceville,"12,218",188,188,0,3,5,17,41,110,12,0,,,,,
,North Lauderdale,"33,739",758,761,2,16,43,106,130,365,96,3,,,,,
,North Miami,"62,618","5,605","5,618",5,38,338,502,"1,114","2,936",672,13,,,,,
,North Miami Beach,"42,651","2,793","2,806",5,15,152,154,584,"1,502",381,13,,,,,
,North Palm Beach,"12,616",485,486,0,2,25,31,104,285,38,1,,,,,
,North Port,"23,840",692,695,0,11,7,46,156,436,36,3,,,,,
,Oakland Park,"32,381","1,598","1,600",6,8,81,143,247,878,235,2,,,,,
,Ocala,"48,044","4,159","4,176",6,45,151,469,929,"2,350",209,17,,,,,
,Ocoee,"25,507","1,674","1,678",0,7,29,141,260,"1,103",134,4,,,,,
,Oldsmar,"12,454",558,560,1,1,9,35,117,362,33,2,,,,,
,Opa Locka,"15,635","2,517","2,525",8,25,286,633,435,860,270,8,,,,,
,Orlando,"194,454","21,133","21,186",15,121,"1,034","2,449","3,710","11,602","2,202",53,,,,,
,Ormond Beach,"37,961","1,223","1,225",0,0,21,83,361,701,57,2,,,,,
,Oviedo,"27,520",748,757,0,12,9,85,133,487,22,9,,,,,
,Palatka,"10,491","1,459","1,467",1,8,36,158,271,922,63,8,,,,,
,Palm Bay,"83,044","4,129","4,157",2,64,89,538,917,"2,340",179,28,,,,,
,Palm Beach,"10,947",264,264,0,0,3,3,53,192,13,0,,,,,
,Palm Beach Gardens,"36,661","1,872","1,875",0,10,51,66,346,"1,285",114,3,,,,,
,Palmetto,"13,146",956,959,0,1,42,108,195,564,46,3,,,,,
,Palm Springs,"12,234",839,842,0,1,24,47,124,539,104,3,,,,,
,Panama City,"38,082","3,107","3,118",3,33,90,199,536,"2,107",139,11,,,,,
,Parkland,"14,467",362,363,0,0,0,14,89,243,16,1,,,,,
,Pembroke Pines,"143,711","4,751","4,780",3,20,121,234,675,"3,091",607,29,,,,,
,Pensacola,"58,827","3,121","3,128",1,36,101,322,622,"1,912",127,7,,,,,
,Pinellas Park,"47,746","3,134","3,155",2,40,54,183,587,"2,075",193,21,,,,,
,Plantation,"86,726","4,435","4,442",3,13,117,127,648,"3,096",431,7,,,,,
,Plant City,"31,283","2,432","2,438",1,9,80,178,355,"1,495",314,6,,,,,
,Pompano Beach,"81,767","4,178","4,185",5,44,242,493,653,"2,285",456,7,,,,,
,Port Orange,"47,918","1,128","1,129",0,2,8,19,167,887,45,1,,,,,
,Port St. Lucie,"92,827","2,922","2,933",1,19,30,220,737,"1,812",103,11,,,,,
,Punta Gorda,"15,000",466,467,0,4,3,24,150,274,11,1,,,,,
,Riviera Beach,"31,250","4,437","4,449",5,30,180,327,"1,111","1,785",999,12,,,,,
,Rockledge,"21,092",807,810,0,6,17,42,152,549,41,3,,,,,
,Royal Palm Beach,"22,507","1,429","1,431",0,1,28,61,568,685,86,2,,,,,
,Safety Harbor,"17,990",438,440,0,6,4,31,91,293,13,2,,,,,
,Sanford,"40,042","3,283","3,283",3,22,117,129,553,"2,112",347,0,,,,,
,Sarasota,"55,125","4,699","4,712",1,40,219,372,955,"2,819",293,13,,,,,
,Satellite Beach,"10,015",289,290,0,0,2,23,62,194,8,1,,,,,
,Sebastian,"16,921",472,474,0,4,2,54,111,288,13,2,,,,,
,Sebring,"10,109",973,980,0,1,34,45,229,602,62,7,,,,,
,Seminole,"11,388",614,617,0,2,11,31,121,422,27,3,,,,,
,South Daytona,"13,779",560,564,0,4,15,44,145,304,48,4,,,,,
,South Miami,"11,232",849,849,0,1,40,71,138,564,35,0,,,,,
,St. Augustine,"12,122",936,938,0,9,24,99,85,676,43,2,,,,,
